BL record ID,Type of resource,Content type,Material type,BNB number,Archival Resource Key,ISBN,Name,Dates associated with name,Type of name,Role,All names,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of creation/publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes,Provenance
7684229,Monograph,Language material ; Text,Volume,GB7604830,,9780195807332,"Wear, G. F.",,person,author,"Wear, G. F., author [person] ; Brontë, Emily, 1818-1848 [person] ; Wai, Poon, illustrator [person]",Wuthering Heights,,Oxford in Asia ; Oxford progressive English readers. Grade 3,,England ; Hong Kong,Oxford,Oxford University Press,1975,,"8, 146 pages, colour illustrations, 1 genealogical table, 22 cm",428.64,,Readers--1950- ; English language--Text-books for foreign speakers ; English language--Readers--For non-English speaking students,,English,,
7684608,Monograph,Language material ; Text,Volume,GB7125953,,9780198120186,"Gérin, Winifred",,person,author,"Gérin, Winifred, author [person]",Emily Brontë : a biography,,,,England,Oxford,Clarendon,1971,,"xviii, 290 pages, 10 plates, illustrations, facsimiles, portraits, 23 cm",823.8,W80/4168 ; X.989/11971,"Fiction in English--Brontë, Emily--Biographies ; Brontë, Emily, 1818-1848",,English,,
7715352,Monograph,Language material ; Text,Volume,GB97X1988,,9780746308349 ; 9780746308912,"Davies, Stevie",,person,,"Davies, Stevie [person] ; British Council [organisation]",Emily Brontë,,,,England,Plymouth,Northcote House,1997,,"128 pages, 22 cm",823.8,,"Brontë, Emily, 1818-1848--Criticism and interpretation",,English,Published in association with The British Council,
7733287,Monograph,Language material ; Text,Volume,GB9499771,,9781857582581,"Mahoney, John",1940 February 23-,person,,"Mahoney, John, 1940 February 23- [person]",Wuthering Heights : Emily Brontë,Letts explore Wuthering Heights,Letts explore ; Letts literature guides,,England,London,Letts,1994,,"64 pages, illustrations, genealogical table, plan, 21 cm",823.914,,"Wuthering Heights ; Brontë, Emily, 1818-1848--Criticism and interpretation",,English,,
7744779,Monograph,Language material ; Text,Volume,GB9319882,,9780333533673 ; 9780333533680,,,,,"Allott, Miriam Farris, editor [person]","Emily Brontë, Wuthering heights : a casebook",,Casebook series,,England,Basingstoke,Macmillan,1992,Revised edition,"246 pages, 23 cm",823.8,92/13503 ; YK.1993.a.6266,"English fiction ; Brontë, Emily, 1818-1848",,English,Previous edition: 1970 ; bibliography: pages 236-239. - Includes index,
7907943,Monograph,Language material ; Text,Volume,,,9788171564910,"Sharma, R. S. (Ram Swarup)",1932-,person,author,"Sharma, R. S. (Ram Swarup), 1932-, author [person]",Wuthering Heights : a commentary,,,,India,New Delhi,Atlantic,1994,,90 pages,,YA.1995.a.11812,"English fiction ; Brontë, Emily, 1818-1848",,English,,
7987987,Monograph,Language material ; Text,Volume,,,,"Brontë, Emily",1818-1848,person,,"Maurat, Charlotte [person] ; Brontë, Emily, 1818-1848 [person]",Choix de poèmes,Poems. Selections. French,,,France,Paris,C. Maurat,1978,,"volumes, 58 leaves, 32 cm",,X:902/3606,,,French,,
8020099,Monograph,Language material ; Text,Volume,,,9788881147830,"Tonussi, Paola",,person,,"Tonussi, Paola [person]",La voce della brughiera : vita e poesia di Emily Brontë,,,,Italy,Napoli,scientifiche italiane,1998,,"753 pages, 24 cm",823.8,YA.2002.a.24050,"Women authors, English--19th century--Biography ; Brontë, Emily, 1818-1848--Poetic works",,Italian,,
8022124,Monograph,Language material ; Text,Volume,,,9788877682765,"Gruppi, Nicoletta",1958-,person,,"Gruppi, Nicoletta, 1958- [person]",Emily Brontë : ipotesi per un ritratto a colori,,Biografie e ritratti,,Italy,Milano,Archinto,2000,,"236 pages, 20 cm",823.8,YA.2002.a.29510,"Authors, English--19th century--Biography ; Women and literature--England--Yorkshire--History--19th century ; Brontë, Emily, 1818-1848",Biography,Italian,,
8041224,Monograph,Language material ; Text,Volume,GB98V5116,,9780237517441,"Orme, David",1948 March 1-,person,,"Orme, David, 1948 March 1- [person]",The Brontës,,Writers in Britain,,England,London,Evans,1999,,"32 pages, illustrations (some colour), 29 cm",823.809,YK.2000.b.219,"Brontë, Patrick Branwell, 1817-1848--Criticism and interpretation--Juvenile literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation--Juvenile literature ; Great Britain--Social conditions--19th century--Juvenile literature ; Brontë, Emily, 1818-1848--Criticism and interpretation--Juvenile literature ; Brontë, Anne, 1820-1849--Criticism and interpretation--Juvenile literature",Children's literature,English,,
